date,value,val2,val3
2009/2/28,433.9,433.9,433.9
2009/3/1,423.6,423.6,423.6
2009/3/2,432.1,432.1,432.1
2009/3/3,431.6,431.6,431.6
2009/3/4,449.8,449.8,449.8
2009/3/5,424.2,424.2,424.2
2009/3/6,417.2,417.2,417.2
2009/3/7,436.4,436.4,436.4
2009/3/8,438,438,438
2009/3/9,463.5,463.5,463.5
2009/3/10,490.4,490.4,490.4
2009/3/11,492.9,492.9,492.9
2009/3/12,499.5,499.5,499.5
2009/3/13,460.6,460.6,460.6
2009/3/14,341.5,341.5,341.5
2009/3/15,369.4,369.4,369.4
2009/3/16,380.8,380.8,380.8
2009/3/17,430.2,430.2,430.2
2009/3/18,428.8,428.8,428.8
2009/3/19,449.2,449.2,449.2
2009/3/20,476.6,476.6,476.6
2009/3/21,515.8,515.8,515.8
2009/3/22,500.9,500.9,500.9
2009/3/23,467.8,467.8,467.8
2009/3/24,466.2,466.2,466.2
2009/3/25,489.6,489.6,489.6
2009/3/26,508.3,508.3,508.3
2009/3/27,509.3,509.3,509.3
2009/3/28,538.8,538.8,538.8
2009/3/29,525.9,525.9,525.9
2009/3/30,533.9,533.9,533.9
2009/3/31,539.4,539.4,539.4
2009/4/1,537.2,537.2,537.2
2009/4/2,553.3,553.3,553.3
2009/4/3,523,523,523
2009/4/4,533.7,533.7,533.7
2009/4/5,492.3,492.3,492.3
2009/4/6,494.6,494.6,494.6
2009/4/7,494.1,494.1,494.1
2009/4/8,478.7,478.7,478.7
2009/4/9,463,463,463
2009/4/10,475,475,475
2009/4/11,468.6,468.6,468.6
2009/4/12,308,308,308
2009/4/13,137.5,137.5,137.5
2009/4/14,107.5,107.5,107.5
2009/4/15,56.2,56.2,56.2
2009/4/16,4.6,4.6,4.6
2009/4/17,-30.5,-30.5,-30.5
2009/4/18,-143,-143,-143
2009/4/19,-386.8,-386.8,-386.8
2009/4/20,-358.9,-358.9,-358.9
2009/4/21,-299.4,-299.4,-299.4
2009/4/22,-257.7,-257.7,-257.7
2009/4/23,-177.4,-177.4,-177.4
2009/4/24,-107.9,-107.9,-107.9
2009/4/25,-52.8,-52.8,-52.8
2009/4/26,42.1,42.1,42.1
2009/4/27,125.3,125.3,125.3
2009/4/28,181.2,181.2,181.2
2009/4/29,230.4,230.4,230.4
2009/4/30,270.9,270.9,270.9
2009/5/1,318.3,318.3,318.3
2009/5/2,320.7,320.7,320.7
2009/5/3,358.2,358.2,358.2
2009/5/4,401.8,401.8,401.8
2009/5/5,394.7,394.7,394.7
2009/5/6,303.6,303.6,303.6
2009/5/7,305.9,305.9,305.9
2009/5/8,317.3,317.3,317.3
2009/5/9,339.7,339.7,339.7
2009/5/10,366.3,366.3,366.3
2009/5/11,400.4,400.4,400.4
2009/5/12,441.4,441.4,441.4
2009/5/13,256.2,256.2,256.2
2009/5/14,162.5,162.5,162.5
2009/5/15,302.1,302.1,302.1
2009/5/16,394.3,394.3,394.3
2009/5/17,418.8,418.8,418.8
2009/5/18,500.8,500.8,500.8
2009/5/19,639,639,639
2009/5/20,719.7,719.7,719.7
2009/5/21,781.4,781.4,781.4
2009/5/22,833.1,833.1,833.1
2009/5/23,715.8,715.8,715.8
2009/5/24,732.2,732.2,732.2
2009/5/25,806,806,806
2009/5/26,874.4,874.4,874.4
2009/5/27,894.7,894.7,894.7
2009/5/28,915.6,915.6,915.6
2009/5/29,938.7,938.7,938.7
2009/5/30,1002.8,1002.8,1002.8
2009/5/31,1048.5,1048.5,1048.5
