time;origin_data;departure;residual
2009-03-28;8464.649999999996;23773.238132190385;-15308.588132190389
2009-03-29;8451.749999999996;23773.238132190385;-15321.488132190389
2009-03-30;8459.749999999996;23773.238132190385;-15313.488132190389
2009-03-31;8465.249999999996;23773.238132190385;-15307.988132190389
2009-04-01;8463.049999999996;24871.938575588465;-16408.88857558847
2009-04-02;8479.149999999996;24871.938575588465;-16392.78857558847
2009-04-03;8448.849999999997;24871.938575588465;-16423.088575588466
2009-04-04;8459.549999999997;24871.938575588465;-16412.38857558847
2009-04-05;8418.149999999998;24871.938575588465;-16453.788575588467
2009-04-06;8420.449999999997;24871.938575588465;-16451.488575588468
2009-04-07;8419.949999999997;24871.938575588465;-16451.988575588468
2009-04-08;8404.549999999997;24871.938575588465;-16467.38857558847
2009-04-09;8388.849999999997;24871.938575588465;-16483.088575588466
2009-04-10;8400.849999999997;24871.938575588465;-16471.088575588466
2009-04-11;8394.449999999997;24871.938575588465;-16477.488575588468
2009-04-12;8376.824999999997;24871.938575588465;-16495.113575588468
2009-04-13;8347.974999999997;24871.938575588465;-16523.963575588466
2009-04-14;8307.899999999996;24871.938575588465;-16564.03857558847
2009-04-15;8256.599999999997;24871.938575588465;-16615.338575588466
2009-04-16;8204.999999999996;24871.938575588465;-16666.93857558847
2009-04-17;8169.899999999996;24871.938575588465;-16702.03857558847
2009-04-18;8158.449999999996;24871.938575588465;-16713.488575588468
2009-04-19;8170.649999999996;24871.938575588465;-16701.28857558847
2009-04-20;8206.499999999996;24871.938575588465;-16665.43857558847
2009-04-21;8265.999999999996;24871.938575588465;-16605.93857558847
2009-04-22;8307.699999999997;24871.938575588465;-16564.238575588468
2009-04-23;8387.999999999996;24871.938575588465;-16483.93857558847
2009-04-24;8457.499999999996;24871.938575588465;-16414.43857558847
2009-04-25;8512.599999999997;24871.938575588465;-16359.338575588468
2009-04-26;8607.499999999996;24871.938575588465;-16264.438575588469
2009-04-27;8690.699999999997;24871.938575588465;-16181.238575588468
2009-04-28;8746.599999999997;24871.938575588465;-16125.338575588468
2009-04-29;8795.799999999997;24871.938575588465;-16076.138575588468
2009-04-30;8836.299999999997;24871.938575588465;-16035.638575588468
2009-05-01;8883.699999999997;25535.448993409966;-16651.74899340997
2009-05-02;8886.099999999997;25535.448993409966;-16649.34899340997
2009-05-03;8923.599999999997;25535.448993409966;-16611.84899340997
2009-05-04;8967.199999999997;25535.448993409966;-16568.24899340997
2009-05-05;8960.099999999997;25535.448993409966;-16575.34899340997
2009-05-06;8868.999999999996;25535.448993409966;-16666.44899340997
2009-05-07;8871.299999999996;25535.448993409966;-16664.14899340997
2009-05-08;8882.699999999995;25535.448993409966;-16652.748993409972
2009-05-09;8905.099999999995;25535.448993409966;-16630.34899340997
2009-05-10;8931.699999999995;25535.448993409966;-16603.748993409972
2009-05-11;8965.799999999996;25535.448993409966;-16569.64899340997
2009-05-12;9006.799999999996;25535.448993409966;-16528.64899340997
2009-05-13;9044.499999999996;25535.448993409966;-16490.94899340997
2009-05-14;9078.899999999996;25535.448993409966;-16456.548993409968
2009-05-15;9109.999999999996;25535.448993409966;-16425.44899340997
2009-05-16;9137.799999999996;25535.448993409966;-16397.64899340997
2009-05-17;9162.299999999996;25535.448993409966;-16373.14899340997
2009-05-18;9244.299999999996;25535.448993409966;-16291.14899340997
2009-05-19;9319.53333333333;25535.448993409966;-16215.915660076636
2009-05-20;9387.999999999996;25535.448993409966;-16147.44899340997
2009-05-21;9449.699999999997;25535.448993409966;-16085.748993409969
2009-05-22;9501.399999999998;25535.448993409966;-16034.048993409968
2009-05-23;9450.949999999997;25535.448993409966;-16084.498993409969
2009-05-24;9400.499999999996;25535.448993409966;-16134.94899340997
2009-05-25;9474.299999999996;25535.448993409966;-16061.14899340997
2009-05-26;9542.699999999997;25535.448993409966;-15992.748993409969
2009-05-27;9562.999999999996;25535.448993409966;-15972.44899340997
2009-05-28;9583.899999999994;25535.448993409966;-15951.548993409971
2009-05-29;9606.999999999996;25535.448993409966;-15928.44899340997
2009-05-30;9671.099999999997;25535.448993409966;-15864.348993409969
2009-05-31;9716.799999999996;25535.448993409966;-15818.64899340997
2009-06-01;9741.899999999996;25277.88788073039;-15535.987880730396
2009-06-02;9774.799999999996;25277.88788073039;-15503.087880730396
2009-06-03;9800.499999999996;25277.88788073039;-15477.387880730395
2009-06-04;9813.699999999997;25277.88788073039;-15464.187880730395
2009-06-05;9814.199999999997;25277.88788073039;-15463.687880730395
2009-06-06;9830.099999999997;25277.88788073039;-15447.787880730395
2009-06-07;9778.199999999997;25277.88788073039;-15499.687880730395
2009-06-08;9739.199999999997;25277.88788073039;-15538.687880730395
2009-06-09;9685.299999999996;25277.88788073039;-15592.587880730396
2009-06-10;9649.699999999997;25277.88788073039;-15628.187880730395
2009-06-11;9617.899999999998;25277.88788073039;-15659.987880730394
