time;origin_data;trans_data;residual
2017-06-24;14302.1;7897.622541281335;6404.477458718666
2017-06-25;14314.6;7900.351922698344;6414.248077301656
2017-06-26;14356.9;7903.081304115356;6453.818695884644
2017-06-27;14378.8;7905.810685532366;6472.989314467633
2017-06-28;14431.8;7908.540066949377;6523.259933050622
2017-06-29;14478.2;7911.269448366387;6566.9305516336135
2017-06-30;14500.7;7913.998829783399;6586.701170216602
2017-07-01;14543.6;7916.728211200409;6626.871788799592
2017-07-02;14584.2;7919.45759261742;6664.7424073825805
2017-07-03;14777.9;7922.18697403443;6855.71302596557
2017-07-04;14830.9;7924.916355451442;6905.983644548558
2017-07-05;14827.2;7927.645736868451;6899.554263131549
2017-07-06;14815.9;7930.375118285463;6885.524881714537
2017-07-07;14792.6;7933.104499702475;6859.495500297526
2017-07-08;14855.8;7935.833881119484;6919.966118880515
2017-07-09;14872.1;7938.563262536496;6933.536737463504
2017-07-10;14874.5;7941.292643953506;6933.207356046494
2017-07-11;14832.3;7944.022025370517;6888.277974629482
2017-07-12;14748.8;7946.751406787529;6802.04859321247
2017-07-13;14699.9;7949.480788204539;6750.419211795461
2017-07-14;14664.4;7952.21016962155;6712.189830378449
2017-07-15;14603.1;7954.93955103856;6648.16044896144
2017-07-16;14538.4;7957.668932455572;6580.731067544428
2017-07-17;14628.9;7960.398313872582;6668.501686127418
2017-07-18;14616.3;7963.127695289593;6653.172304710406
2017-07-19;14580.8;7965.857076706603;6614.942923293396
2017-07-20;14524.2;7968.586458123615;6555.613541876386
2017-07-21;14488.0;7971.315839540626;6516.684160459374
2017-07-22;14492.2;7974.045220957636;6518.154779042365
2017-07-23;14523.5;7976.774602374648;6546.725397625352
2017-07-24;14498.7;7979.503983791657;6519.196016208343
2017-07-25;14473.8;7982.233365208669;6491.56663479133
2017-07-26;14475.6;7984.962746625679;6490.6372533743215
2017-07-27;14510.8;7987.6921280426905;6523.107871957309
2017-07-28;14516.0;7990.4215094597;6525.5784905403
2017-07-29;14525.7;7993.150890876712;6532.549109123289
2017-07-30;14538.1;7995.880272293722;6542.219727706279
2017-07-31;14548.5;7998.609653710733;6549.890346289267
2017-08-01;14536.6;8001.339035127743;6535.260964872257
2017-08-02;14555.9;8004.068416544755;6551.831583455245
2017-08-03;14578.8;8006.797797961764;6572.002202038235
2017-08-04;14567.4;8009.527179378776;6557.872820621224
2017-08-05;14538.2;8012.256560795786;6525.943439204215
2017-08-06;14521.7;8014.985942212797;6506.714057787203
2017-08-07;14492.6;8017.715323629809;6474.884676370191
2017-08-08;14445.2;8020.444705046819;6424.755294953182
2017-08-09;14439.7;8023.1740864638305;6416.52591353617
2017-08-10;14427.1;8025.90346788084;6401.19653211916
2017-08-11;14395.4;8028.632849297852;6366.767150702148
2017-08-12;14333.1;8031.3622307148635;6301.737769285137
2017-08-13;14297.7;8034.091612131873;6263.6083878681275
2017-08-14;14259.4;8036.820993548885;6222.579006451115
2017-08-15;14242.4;8039.550374965895;6202.849625034105
2017-08-16;14247.4;8042.279756382906;6205.120243617093
2017-08-17;14266.1;8045.009137799916;6221.090862200084
2017-08-18;14220.6;8047.738519216928;6172.861480783073
2017-08-19;14179.9;8050.4679006339375;6129.432099366062
2017-08-20;14195.7;8053.197282050949;6142.502717949052
2017-08-21;14200.6;8055.926663467959;6144.6733365320415
2017-08-22;14154.2;8058.6560448849705;6095.54395511503
2017-08-23;14096.1;8061.38542630198;6034.71457369802
2017-08-24;13999.5;8064.114807718992;5935.385192281008
2017-08-25;13905.9;8066.8441891360035;5839.055810863996
2017-08-26;13826.9;8069.573570553013;5757.326429446986
2017-08-27;13768.2;8072.302951970025;5695.897048029976
2017-08-28;13701.0;8075.032333387035;5625.967666612965
2017-08-29;13656.3;8077.761714804046;5578.538285195953
2017-08-30;13603.3;8080.491096221056;5522.808903778943
2017-08-31;13540.8;8083.220477638068;5457.579522361932
2017-09-01;13479.8;8085.9498590550775;5393.850140944922
2017-09-02;13392.9;8088.679240472089;5304.220759527911
2017-09-03;13285.1;8091.408621889099;5193.6913781109015
2017-09-04;13210.8;8094.1380033061105;5116.661996693889
2017-09-05;13141.9;8096.86738472312;5045.032615276879
2017-09-06;13092.9;8099.596766140132;4993.303233859868
2017-09-07;13046.1;8102.326147557142;4943.773852442859
2017-09-08;12995.0;8105.055528974153;4889.944471025847
2017-09-09;12951.5;8107.784910391165;4843.715089608835
2017-09-10;12812.6;8110.514291808175;4702.085708191826
2017-09-11;12549.7;8113.243673225186;4436.456326774814
2017-09-12;12457.0;8115.973054642196;4341.026945357804
2017-09-13;12422.2;8118.702436059208;4303.497563940793
2017-09-14;12373.5;8121.431817476219;4252.068182523781
2017-09-15;12318.8;8124.161198893229;4194.63880110677
2017-09-16;12274.2;8126.890580310241;4147.30941968976
2017-09-17;12239.3;8129.6199617272505;4109.680038272749
2017-09-18;12216.7;8132.349343144262;4084.3506568557386
2017-09-19;12219.3;8135.078724561272;4084.2212754387274
2017-09-20;12083.9;8137.8081059782835;3946.091894021716
2017-09-21;11999.9;8140.537487395293;3859.3625126047064
2017-09-22;11991.7;8143.266868812305;3848.433131187696
2017-09-23;11982.8;8145.996250229315;3836.8037497706846
2017-09-24;11998.2;8148.725631646326;3849.4743683536744
2017-09-25;11997.9;8151.455013063336;3846.4449869366636
2017-09-26;11954.1;8154.184394480348;3799.9156055196527
2017-09-27;11907.4;8156.9137758973575;3750.486224102642
2017-09-28;11825.5;8159.643157314369;3665.856842685631
2017-09-29;11811.5;8162.372538731381;3649.1274612686193
2017-09-30;11762.2;8165.1019201483905;3597.0980798516102
2017-10-01;11729.7;8167.831301565402;3561.8686984345986
2017-10-02;11700.5;8170.560682982412;3529.939317017588
2017-10-03;11573.1;8173.2900643994235;3399.809935600577
2017-10-04;11496.8;8176.019445816433;3320.780554183566
2017-10-05;11381.1;8178.748827233445;3202.3511727665555
2017-10-06;11334.2;8181.478208650455;3152.721791349546
2017-10-07;11301.4;8184.207590067466;3117.1924099325333
2017-10-08;11274.4;8186.936971484476;3087.4630285155235
2017-10-09;11308.3;8189.666352901488;3118.6336470985116
2017-10-10;11313.3;8192.3957343185;3120.9042656815
2017-10-11;11339.9;8195.12511573551;3144.7748842644905
2017-10-12;11370.1;8197.85449715252;3172.2455028474797
2017-10-13;11442.7;8200.58387856953;3242.1161214304702
2017-10-14;11484.5;8203.313259986542;3281.186740013458
