time;origin_data;despiked;flag
2009-06-03;1132.2;9800.499999999996;0
2009-06-04;1145.4;9813.699999999997;0
2009-06-05;1145.9;9814.199999999997;0
2009-06-06;1161.8;9830.099999999997;0
2009-06-07;1109.9;9778.199999999997;0
2009-06-08;1070.9;9739.199999999997;0
2009-06-09;1017.0;9685.299999999997;0
2009-06-10;981.4;9649.699999999997;0
2009-06-11;949.6;9617.899999999998;0
2009-06-12;947.1;9615.399999999998;0
2009-06-13;950.1;9618.399999999998;0
2009-06-14;943.5;9611.799999999997;0
2009-06-15;939.5;9607.799999999997;0
2009-06-16;903.4;9571.699999999997;0
2009-06-17;903.8;9572.099999999997;0
2009-06-18;902.6;9570.899999999996;0
2009-06-19;874.6;9542.899999999996;0
2009-06-20;827.9;9496.199999999995;0
2009-06-21;804.0;9472.299999999996;0
2009-06-22;780.1;9448.399999999996;0
2009-06-23;745.3;9413.599999999997;0
2009-06-24;745.1;9413.399999999996;0
2009-06-25;713.6;9381.899999999996;0
2009-06-26;691.6;9359.899999999996;0
2009-06-27;667.2;9335.499999999996;0
2009-06-28;629.8;9298.099999999997;0
2009-06-29;594.1;9262.399999999996;0
2009-06-30;533.3;9201.599999999997;0
2009-07-01;434.2;9141.849999999997;1
2009-07-02;413.8;9082.099999999997;0
2009-07-03;371.8;9040.099999999997;0
2009-07-04;342.0;9010.299999999997;0
2009-07-05;306.1;8974.399999999998;0
2009-07-06;290.8;8959.099999999999;0
2009-07-07;290.8;8959.099999999999;0
2009-07-08;243.7;8911.999999999998;0
2009-07-09;207.7;8875.999999999998;0
2009-07-10;218.4;8886.699999999999;0
2009-07-11;229.4;8897.699999999999;0
2009-07-12;191.8;8860.099999999999;0
2009-07-13;173.4;8841.699999999999;0
2009-07-14;111.8;8780.099999999999;0
2009-07-15;12.5;8695.533333333331;1
2009-07-16;-84.2;8610.966666666664;1
2009-07-17;-141.9;8526.399999999996;0
2009-07-18;-195.2;8473.099999999997;0
2009-07-19;-233.8;8434.499999999996;0
2009-07-20;-358.7;8377.23333333333;2
2009-07-21;-434.4;8301.299999999997;1
2009-07-22;-529.0;8206.699999999997;0
2009-07-23;-569.6;8166.099999999997;0
2009-07-24;-608.8;8126.899999999997;0
2009-07-25;-669.7;8065.999999999996;0
2009-07-26;-686.2;8049.499999999996;0
2009-07-27;-499.7;8043.166666666663;2
2009-07-28;-430.4;8046.999999999996;1
2009-07-29;-416.4;8060.999999999996;0
2009-07-30;-412.6;8064.7999999999965;0
2009-07-31;-361.7;8115.699999999996;0
2009-08-01;-275.0;8202.399999999996;0
2009-08-02;-158.3;8305.999999999996;1
2009-08-03;-67.8;8409.599999999997;0
2009-08-04;-50.5;8426.899999999996;0
2009-08-05;-14.6;8462.799999999996;0
2009-08-06;93.2;8550.749999999996;1
2009-08-07;161.3;8638.699999999997;0
2009-08-08;200.6;8677.999999999996;0
2009-08-09;190.7;8668.099999999997;0
2009-08-10;235.7;8713.099999999997;0
2009-08-11;304.5;8781.899999999996;0
2009-08-12;352.0;8829.399999999996;0
2009-08-13;410.4;8887.799999999996;0
2009-08-14;476.5;8953.899999999996;0
2009-08-15;551.8;9029.199999999995;0
2009-08-16;621.1;9098.499999999995;0
2009-08-17;673.8;9151.199999999995;0
2009-08-18;727.6;9204.999999999995;0
2009-08-19;761.3;9238.699999999995;0
2009-08-20;849.3;9326.699999999995;0
2009-08-21;910.0;9387.399999999996;0
2009-08-22;935.1;9412.499999999996;0
2009-08-23;1011.3;9488.699999999997;0
2009-08-24;1077.5;9554.899999999998;0
2009-08-25;1180.1;9657.499999999998;0
2009-08-26;1273.7;9751.099999999999;0
2009-08-27;1362.2;9839.599999999999;0
2009-08-28;1389.7;9867.099999999999;0
2009-08-29;1322.1;9799.499999999998;0
2009-08-30;769.1;9753.899999999998;2
2009-08-31;875.3;9730.299999999997;2
2009-09-01;854.1;9728.699999999997;1
2009-09-02;874.5;9749.099999999997;0
2009-09-03;937.7;9812.299999999997;0
2009-09-04;1055.9;9876.566666666664;2
2009-09-05;1192.3;9941.899999999998;2
2009-09-06;1330.9;10008.299999999997;2
2009-09-07;1437.3;10075.766666666665;2
2009-09-08;1540.8;10144.299999999997;1
2009-09-09;1610.4;10213.899999999998;0
2009-09-10;1676.5;10279.999999999998;0
2009-09-11;1767.2;10370.699999999999;0
2009-09-12;1844.5;10447.999999999998;0
2009-09-13;1933.0;10536.499999999998;0
2009-09-14;2018.2;10621.699999999999;0
2009-09-15;2082.8;10686.3;0
2009-09-16;2140.0;10743.5;0
2009-09-17;2245.1;10827.685;1
2009-09-18;2368.4;10911.869999999999;1
2009-09-19;2491.1;10996.054999999998;1
2009-09-20;1937.5;11080.239999999998;1
2009-09-21;12.5;11164.425;1
2009-09-22;200.5;11248.609999999999;1
2009-09-23;890.4;11332.794999999998;1
2009-09-24;1172.6;11416.979999999998;1
2009-09-25;1417.7;11501.164999999997;1
2009-09-26;1771.1;11585.349999999997;1
2009-09-27;2157.7;11669.534999999996;1
2009-09-28;2533.8;11753.719999999996;1
2009-09-29;2813.7;11837.904999999995;1
2009-09-30;2995.0;11922.089999999997;1
2009-10-01;3152.3;12006.274999999996;1
2009-10-02;3316.9;12090.459999999995;1
2009-10-03;3472.1;12174.644999999995;1
2009-10-04;3624.0;12258.829999999994;1
2009-10-05;3738.2;12343.014999999994;1
2009-10-06;3823.7;12427.199999999993;0
2009-10-07;3909.6;12513.099999999993;0
2009-10-08;3940.4;12543.899999999994;0
2009-10-09;3982.0;12585.499999999995;0
2009-10-10;3998.0;12601.499999999995;0
2009-10-11;4031.2;12634.699999999993;0
2009-10-12;4122.6;12726.099999999995;0
2009-10-13;4192.0;12795.499999999995;0
2009-10-14;4197.8;12801.299999999996;0
2009-10-15;4248.9;12852.399999999994;0
2009-10-16;4275.1;12878.599999999995;0
