Line,Point,latitude,longitude,elevation,gravity_val
13,13018,24.41643,102.54091,1645.174,978485.98
13,13019,24.41459,102.53999,1643.673,978486.047
13,13020,24.41317,102.53833,1641.546,978486.134
13,13021,24.4118,102.53635,1640.636,978485.963
13,13022,24.40985,102.53498,1638.161,978486.229
13,13023,24.40885,102.53339,1637.718,978486.174
13,13024,24.40634,102.53103,1636.757,978486.402
13,13025,24.40471,102.5304,1635.966,978486.696
13,13026,24.40323,102.52943,1635.433,978486.906
13,13027,24.40091,102.53443,1633.418,978488.396
13,13028,24.39909,102.53356,1632.435,978488.755
13,13029,24.3972,102.53281,1631.745,978489.167
13,13030,24.3951,102.53219,1630.935,978489.517
13,13031,24.39296,102.53186,1630.228,978489.894
13,13032,24.39115,102.53155,1629.647,978490.171
13,13033,24.38931,102.53127,1629.026,978490.508
13,13034,24.38686,102.53088,1628.107,978490.885
13,13035,24.38541,102.53047,1627.536,978491.143
13,13036,24.38396,102.53002,1627.074,978491.335
13,13037,24.38186,102.52936,1626.266,978491.649
13,13038,24.38013,102.52882,1625.708,978491.935
13,13039,24.37792,102.52813,1625.854,978492.173
13,13040,24.3759,102.52662,1626.096,978492.159
13,13041,24.37312,102.52542,1623.329,978493.072
13,13042,24.37126,102.52437,1622.3,978493.454
13,13043,24.36894,102.52296,1623.806,978493.373
13,13044,24.36665,102.52158,1622.526,978493.965
13,13045,24.36436,102.52025,1622.682,978494.21
13,13046,24.36238,102.51642,1622.257,978493.962
13,13047,24.36153,102.51545,1622.408,978493.833
13,13048,24.36035,102.51411,1622.301,978493.758
13,13049,24.35883,102.51241,1620.327,978494.097
13,13050,24.3573,102.51066,1620.335,978494.166
13,13051,24.3559,102.50907,1620.121,978494.331
13,13052,24.35464,102.50765,1619.762,978494.553
13,13053,24.3531,102.50596,1620.614,978494.65
13,13054,24.35174,102.50534,1621.182,978494.755
13,13055,24.35005,102.50455,1620.966,978495.048
13,13056,24.34831,102.50288,1620.728,978495.145
13,13057,24.34663,102.50126,1620.505,978495.419
13,13058,24.34528,102.49842,1620.146,978495.866
13,13059,24.34403,102.4974,1619.696,978496.263
13,13060,24.34304,102.49665,1619.695,978496.491
4,4060,24.32186,102.53244,1656.486,978497.57
4,4059,24.32173,102.5308,1649.462,978499.047
4,4058,24.32255,102.52924,1641.939,978500.184
4,4057,24.32355,102.52746,1635.727,978501.488
4,4056,24.32481,102.52558,1631.869,978501.258
4,4055,24.32581,102.52393,1631.48,978500.685
4,4054,24.32682,102.52215,1630.773,978499.983
4,4053,24.32782,102.52056,1635.925,978497.751
4,4052,24.32885,102.51853,1635.692,978496.354
4,4051,24.32982,102.51666,1626.561,978497.441
4,4050,24.3308,102.51489,1628.022,978496.41
4,4049,24.33181,102.51314,1627.015,978496.796
4,4048,24.33271,102.51137,1622.259,978496.763
4,4047,24.33377,102.50946,1622.11,978496.392
4,4046,24.33481,102.5077,1619.676,978496.587
4,4045,24.33569,102.50615,1618.959,978496.507
4,4044,24.33685,102.50414,1619.101,978496.229
4,4043,24.33764,102.5028,1622.581,978496.079
4,4042,24.33852,102.5013,1622.048,978496.072
4,4041,24.33933,102.4997,1617.546,978496.141
13,13061,24.33966,102.49663,1619.56,978496.617
13,13062,24.33767,102.49553,1619.555,978496.925
13,13063,24.33607,102.49281,1619.92,978497.971
13,13064,24.33471,102.49136,1620.325,978498.717
13,13071,24.32029,102.48561,1630.086,978499.849
13,13072,24.31787,102.48453,1637.89,978499.207
13,13073,24.31562,102.4839,1640.612,978499.357
13,13074,24.31338,102.48327,1644.594,978499.336
13,13075,24.31054,102.48257,1650.817,978499.024
13,13076,24.30855,102.48139,1657.468,978498.33
13,13077,24.30683,102.47971,1666.894,978496.567
13,13070,24.32249,102.48678,1628.138,978499.976
13,13069,24.32445,102.48802,1625.84,978499.396
13,13068,24.32627,102.48872,1625.199,978498.887
13,13067,24.32842,102.4898,1621.583,978498.848
13,13066,24.33047,102.49077,1621.662,978498.406
13,13065,24.33248,102.49158,1620.733,978498.078
9,9001,24.34782,102.49877,1618.235,978496.002
9,9002,24.34869,102.49768,1618.267,978496.17
9,9003,24.34946,102.49674,1618.293,978496.262
9,9004,24.35009,102.49543,1617.918,978496.717
9,9005,24.35041,102.49445,1617.837,978497.039
9,9006,24.35099,102.49293,1617.412,978497.643
9,9007,24.35234,102.49265,1619.895,978497.296
9,9008,24.35323,102.4916,1621.594,978497.902
9,9009,24.35418,102.49059,1627.229,978497.574
9,9010,24.35349,102.48928,1629.874,978498.064
9,9011,24.35475,102.48887,1637.275,978496.843
9,9012,24.35444,102.48788,1644.358,978496.173
9,9013,24.35477,102.48636,1648.598,978496.681
9,9014,24.35571,102.48513,1663.596,978494.176
9,9015,24.35704,102.4845,1674.787,978491.841
9,9017,24.35851,102.48081,1662.346,978497.344
871,87101,24.41485,102.53438,1641.395,978485.552
871,87102,24.41657,102.53197,1642.801,978485.392
871,87103,24.41579,102.53074,1642.304,978485.461
871,87104,24.41446,102.53131,1641.241,978485.517
871,87105,24.41331,102.53094,1640.758,978485.55
871,87106,24.41172,102.53037,1639.548,978485.665
871,87107,24.40955,102.52962,1638.161,978485.934
871,87108,24.40761,102.52749,1636.561,978486.338
871,87109,24.40975,102.52827,1637.842,978486.019
871,87110,24.41193,102.52904,1639.307,978485.789
871,87111,24.4143,102.52994,1640.887,978485.659
871,87112,24.4166,102.53073,1642.399,978485.632
871,87113,24.41917,102.52681,1644.588,978486.504
871,87114,24.41758,102.52621,1643.577,978486.447
871,87115,24.41604,102.52561,1642.355,978486.472
871,87116,24.41456,102.52503,1641.596,978486.385
871,87117,24.41318,102.52441,1641.129,978486.47
871,87118,24.4114,102.52379,1639.949,978486.568
871,87119,24.40978,102.5231,1639.864,978486.437
871,87120,24.41277,102.52118,1648.491,978485.909
871,87121,24.41422,102.52107,1651.407,978485.957
871,87122,24.41673,102.5219,1651.602,978486.313
871,87123,24.41876,102.52259,1651.805,978486.691
871,87124,24.42155,102.52165,1654.861,978488.2
871,87125,24.42288,102.52223,1658.428,978487.921
871,87126,24.42469,102.52297,1665.848,978486.857
871,87127,24.42645,102.52365,1669.671,978486.574
3,3041,24.38636,102.51033,1633.1,978488.35
3,3042,24.38522,102.51201,1628.102,978488.996
3,3043,24.38377,102.51337,1627.086,978489.142
3,3044,24.38328,102.51543,1625.925,978489.507
3,3045,24.3829,102.51696,1625.896,978489.731
3,3046,24.38246,102.51874,1625.758,978490.053
3,3047,24.38199,102.52063,1625.594,978490.481
3,3048,24.3816,102.5222,1625.753,978490.722
3,3049,24.38115,102.5241,1627.729,978490.57
3,3050,24.37957,102.52511,1627.731,978490.936
3,3051,24.37798,102.52598,1626.912,978491.446
3,3052,24.37699,102.52631,1626.531,978491.721
3,3053,24.37591,102.52662,1626.078,978492.152
3,3054,24.37402,102.52775,1625.95,978492.791
3,3055,24.37279,102.52838,1625.813,978493.299
8,8001,24.39046,102.54394,1633.976,978493.1
8,8002,24.39119,102.5425,1633.145,978492.725
8,8003,24.39193,102.5408,1631.22,978492.4
8,8004,24.39144,102.53917,1630.526,978491.947
8,8005,24.39323,102.53574,1631.287,978490.555
8,8006,24.39417,102.53435,1631.221,978490.081
8,8007,24.39509,102.53221,1631.002,978489.523
8,8008,24.39615,102.52997,1630.666,978488.979
8,8009,24.3971,102.52841,1630.535,978488.647
8,8010,24.38039,102.53935,1628.582,978493.216
8,8012,24.38375,102.53511,1627.997,978492.056
8,8013,24.38493,102.53307,1628.33,978491.426
8,8014,24.38635,102.5313,1627.864,978491.01
8,8015,24.38729,102.52989,1628.332,978490.607
8,8016,24.38904,102.53092,1628.991,978490.471
8,8017,24.39027,102.52946,1628.784,978490.005
8,8018,24.39163,102.52723,1628.933,978489.493
8,8019,24.39312,102.52531,1629.181,978488.952
8,8020,24.39442,102.52312,1629.969,978488.439
8,8021,24.39589,102.52096,1630.748,978488.028
8,8022,24.39716,102.51909,1631.516,978487.886
8,8023,24.39846,102.51719,1632.122,978488.142
8,8024,24.40001,102.51489,1634.434,978488.709
8,8025,24.39977,102.51307,1638.316,978488.979
8,8026,24.39947,102.51067,1646.236,978488.979
8,8027,24.39998,102.50836,1649.573,978491.123
8,8028,24.40017,102.5063,1650.425,978492.445
8,8029,24.40283,102.50599,1661.84,978491.476
8,8030,24.40393,102.50477,1666.376,978491.648
8,8031,24.40408,102.50308,1675.694,978490.883
8,8032,24.40375,102.50119,1686.248,978489.804
8,8033,24.40377,102.49967,1699.082,978487.611
8,8034,24.40437,102.4982,1720.567,978483.394
8,8035,24.39217,102.51352,1629.673,978489.189
8,8036,24.3917,102.51446,1627.915,978489.198
8,8037,24.39091,102.51638,1627.187,978489.067
8,8038,24.38801,102.51191,1629.055,978489.068
8,8039,24.38789,102.51342,1627.082,978489.306
8,8040,24.3879,102.51461,1626.348,978489.365
8,8041,24.38782,102.51614,1625.951,978489.399
8,8042,24.38948,102.51666,1626.143,978489.27
8,8043,24.38748,102.51773,1625.688,978489.512
8,8044,24.3871,102.51889,1626.544,978489.47
8,8045,24.38667,102.52027,1628.218,978489.292
8,8046,24.38785,102.52066,1629.024,978488.982
8,8047,24.38556,102.52103,1628.897,978489.4
8,8048,24.38326,102.52257,1628.209,978489.983
8,8049,24.38181,102.52364,1627.965,978490.41
8,8050,24.38575,102.52481,1627.521,978490.144
8,8051,24.38498,102.52604,1627.183,978490.506
8,8052,24.38387,102.52762,1627.25,978490.839
12,12001,24.38744,102.56535,1641.373,978498.282
12,12002,24.38493,102.56524,1640.896,978498.453
12,12003,24.38288,102.56514,1638.226,978498.987
12,12004,24.38064,102.56503,1635.363,978499.473
12,12005,24.37853,102.56492,1634.314,978499.694
12,12006,24.37638,102.56477,1635.497,978499.314
12,12007,24.37424,102.56461,1635.225,978499.862
12,12008,24.37204,102.56457,1634.928,978500.103
12,12009,24.36999,102.56445,1635.186,978500.133
12,12010,24.36776,102.56436,1636.857,978500.198
12,12011,24.36562,102.56463,1647.7,978498.465
12,12000,24.36655,102.56634,1647.668,978498.481
12,12012,24.36438,102.56263,1646.806,978499.371
12,12013,24.3632,102.56117,1644.19,978500.433
12,12014,24.3618,102.55924,1642.999,978500.552
12,12015,24.36048,102.55759,1640.091,978500.82
12,12016,24.35935,102.556,1638.113,978500.362
12,12017,24.35799,102.55407,1636.857,978499.346
