eventID,Agency,year,month,day,hour,minute,second,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,moment,scaling,source,mpp,mpr,mrr,mrt,mtp,mtt
913190,ISC-GEM,1918,7,1,6,8,35.55,126.4680,8.9570,19.20,10.80,79.70,35.00,15.80,6.51,0.67,       ,    ,          ,       ,       ,       ,       ,       ,       
913192,ISC-GEM,1918,7,3,6,52,8.74,143.4040,-3.2110,15.90,9.50,72.50,15.00,5.60,7.49,0.32,       ,    ,          ,       ,       ,       ,       ,       ,       
913196,ISC-GEM,1918,7,8,10,22,8.9,90.8530,24.5990,10.60,7.50,21.50,15.00,25.00,7.19,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
913206,ISC-GEM,1918,7,21,6,9,45.69,155.5480,-7.3310,17.40,11.80,94.10,20.00,14.60,6.65,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913212,ISC-GEM,1918,7,29,16,50,21.05,143.9100,-3.1110,20.10,13.60,67.70,15.00,25.00,6.62,0.39,       ,    ,          ,       ,       ,       ,       ,       ,       
913219,ISC-GEM,1918,8,8,9,48,5.39,152.3440,-4.9780,20.50,13.00,110.30,35.00,15.60,6.52,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913230,ISC-GEM,1918,8,15,12,18,21.68,124.3770,5.9670,17.70,9.10,63.20,20.00,26.40,8.30,0.40,3.00,21, bibliog  ,       ,       ,       ,       ,       ,       
913231,ISC-GEM,1918,8,15,15,26,20.92,124.2610,5.2130,25.00,14.10,84.90,35.00,25.00,6.44,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913232,ISC-GEM,1918,8,15,17,30,11.18,125.7500,5.2260,13.70,10.40,94.60,15.00,23.10,6.91,0.49,       ,    ,          ,       ,       ,       ,       ,       ,       
913233,ISC-GEM,1918,8,16,3,25,41.47,124.6600,5.2890,19.90,9.30,67.80,35.00,25.00,6.10,0.38,       ,    ,          ,       ,       ,       ,       ,       ,       
913246,ISC-GEM,1918,8,23,6,36,44.04,164.9190,-10.7890,17.00,10.60,102.60,15.00,8.60,6.50,0.44,       ,    ,          ,       ,       ,       ,       ,       ,       
913260,ISC-GEM,1918,9,7,17,16,23.16,150.6530,46.7370,10.70,6.20,146.30,15.00,13.50,8.10,0.30,1.59,21, bibliog  ,       ,       ,       ,       ,       ,       
913286,ISC-GEM,1918,9,22,9,55,0.13,100.0900,-1.4570,14.50,12.60,35.10,35.00,6.50,6.51,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913295,ISC-GEM,1918,9,29,12,7,14.31,35.6080,35.0770,13.90,8.70,36.90,15.00,25.00,6.61,0.65,       ,    ,          ,       ,       ,       ,       ,       ,       
913306,ISC-GEM,1918,10,11,14,14,42.42,-67.2190,18.8020,9.10,8.30,28.30,15.00,5.70,7.10,0.30,6.40,19, bibliog  ,       ,       ,       ,       ,       ,       
913314,ISC-GEM,1918,10,14,12,0,14.66,-174.1100,-20.6500,17.60,13.90,143.00,30.00,10.90,6.35,0.24,       ,    ,          ,       ,       ,       ,       ,       ,       
913321,ISC-GEM,1918,10,19,3,23,4.51,-90.0230,13.8800,18.80,14.20,50.00,35.00,25.00,6.56,0.41,       ,    ,          ,       ,       ,       ,       ,       ,       
913330,ISC-GEM,1918,10,27,17,6,40.81,149.6830,-1.4020,27.50,11.10,75.90,15.00,8.20,7.24,0.33,       ,    ,          ,       ,       ,       ,       ,       ,       
913336,ISC-GEM,1918,11,8,4,38,9.77,151.8960,44.8930,10.30,7.30,133.10,15.00,7.10,7.79,0.41,       ,    ,          ,       ,       ,       ,       ,       ,       
913349,ISC-GEM,1918,11,23,22,57,42.74,129.1480,-6.8070,20.10,13.50,53.90,15.00,32.60,6.92,0.23,       ,    ,          ,       ,       ,       ,       ,       ,       
913358,ISC-GEM,1918,12,1,2,35,21.14,72.7970,38.4280,18.40,7.70,47.00,20.00,13.10,6.48,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
913359,ISC-GEM,1918,12,2,9,47,34.46,-43.5490,11.3910,14.30,10.00,132.60,10.00,25.00,7.14,0.48,       ,    ,          ,       ,       ,       ,       ,       ,       
913362,ISC-GEM,1918,12,4,11,47,50.43,-70.6080,-26.5380,20.60,9.50,95.10,40.00,19.50,7.83,0.37,       ,    ,          ,       ,       ,       ,       ,       ,       
913365,ISC-GEM,1918,12,6,8,41,7.65,-126.6950,49.8220,8.20,7.40,70.50,15.00,25.00,6.84,0.41,       ,    ,          ,       ,       ,       ,       ,       ,       
912699,ISC-GEM,1919,1,1,1,33,49.87,126.5300,6.8190,12.30,8.50,59.80,35.00,32.90,6.94,0.42,       ,    ,          ,       ,       ,       ,       ,       ,       
912700,ISC-GEM,1919,1,1,3,0,34.63,-178.1060,-19.3070,27.10,18.40,142.90,485.00,25.00,7.80,0.40,6.00,20, bibliog  ,       ,       ,       ,       ,       ,       
912712,ISC-GEM,1919,1,18,5,52,24.87,101.4670,-4.5770,34.00,12.00,33.80,35.00,4.20,6.30,0.43,       ,    ,          ,       ,       ,       ,       ,       ,       
912734,ISC-GEM,1919,3,2,3,26,35.57,-78.3190,-43.8000,30.90,13.70,120.00,15.00,25.00,7.24,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912735,ISC-GEM,1919,3,2,11,45,15.15,-71.6950,-43.1090,40.20,15.70,98.10,15.00,25.00,7.25,0.41,       ,    ,          ,       ,       ,       ,       ,       ,       
912740,ISC-GEM,1919,3,9,3,16,58.86,-74.3680,-41.4210,38.90,25.40,110.80,15.00,25.00,6.84,0.54,       ,    ,          ,       ,       ,       ,       ,       ,       
912756,ISC-GEM,1919,4,2,0,34,59.58,104.4870,-5.4960,17.20,11.30,49.20,20.00,28.90,6.40,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912761,ISC-GEM,1919,4,17,11,22,9.94,-178.1100,-30.4180,19.50,11.10,145.70,35.00,13.50,7.15,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912762,ISC-GEM,1919,4,17,20,53,9.19,-91.7150,14.2290,13.00,8.50,45.30,35.00,18.80,6.82,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912766,ISC-GEM,1919,4,21,11,26,12.63,-40.4910,8.9170,15.60,10.50,146.00,10.00,12.30,6.64,0.25,       ,    ,          ,       ,       ,       ,       ,       ,       
912770,ISC-GEM,1919,4,27,0,22,0.06,120.4100,12.3530,17.90,9.20,110.80,15.00,13.70,6.56,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912773,ISC-GEM,1919,4,30,7,17,17.28,-172.5150,-18.3520,16.20,9.80,139.70,25.00,14.50,8.10,0.30,1.80,21, bibliog  ,       ,       ,       ,       ,       ,       
912776,ISC-GEM,1919,5,2,2,7,31,-173.6470,-17.3070,53.50,19.20,141.70,25.00,11.60,6.44,0.20,       ,    ,          ,       ,       ,       ,       ,       ,       
912783,ISC-GEM,1919,5,6,19,41,14.25,153.7140,-4.8520,20.90,16.20,96.30,35.00,22.10,7.75,0.64,       ,    ,          ,       ,       ,       ,       ,       ,       
